"species_code","alt_full_spp_code","n_locations","scientific_name","american_english_name","nom_francais_canadien","nombre_espanol_mexicano","taxonomy_version","taxonomic_sort_order"
"astfly",NA,"60","Myiarchus cinerascens","Ash-throated Flycatcher","Tyran à gorge cendrée","Papamoscas Garganta Ceniza",2021.01,16656
"nutfly",NA,"1","Myiarchus nuttingi","Nutting's Flycatcher","Tyran de Nutting","Papamoscas Huí",2021.01,16659
"grcfly",NA,"160","Myiarchus crinitus","Great Crested Flycatcher","Tyran huppé","Papamoscas Viajero",2021.01,16665
"bncfly",NA,"2","Myiarchus tyrannulus","Brown-crested Flycatcher","Tyran de Wied","Papamoscas Gritón",2021.01,16666
"grekis",NA,"34","Pitangus sulphuratus","Great Kiskadee","Tyran quiquivi","Luis Bienteveo",2021.01,16699
"socfly1",NA,"1","Myiozetetes similis","Social Flycatcher","Tyran sociable","Luisito Común",2021.01,16723
"trokin",NA,"4","Tyrannus melancholicus","Tropical Kingbird","Tyran mélancolique","Tirano Pirirí",2021.01,16783
"coukin",NA,"14","Tyrannus couchii","Couch's Kingbird","Tyran de Couch","Tirano Cuír",2021.01,16788
"caskin",NA,"103","Tyrannus vociferans","Cassin's Kingbird","Tyran de Cassin","Tirano Chibiú",2021.01,16790
"weskin",NA,"106","Tyrannus verticalis","Western Kingbird","Tyran de l'Ouest","Tirano Pálido",2021.01,16796
"y00619",NA,"16","Tyrannus vociferans/verticalis","Cassin's/Western Kingbird","Tyran de Cassin ou T. de l'Ouest","Tirano Chibiú/Pálido",2021.01,16797
"easkin",NA,"159","Tyrannus tyrannus","Eastern Kingbird","Tyran tritri","Tirano Dorso Negro",2021.01,16800
"grykin",NA,"7","Tyrannus dominicensis","Gray Kingbird","Tyran gris","Tirano Gris",2021.01,16802
"sctfly",NA,"45","Tyrannus forficatus","Scissor-tailed Flycatcher","Tyran à longue queue","Tirano Tijereta Rosado",2021.01,16816
"flycat1",NA,"35","Tyrannidae sp.","flycatcher sp. (Tyrannidae sp.)","Moucherolle sp.","Tyrannidae sp.",2021.01,16825
"golvir1",NA,"1","Vireo hypochryseus","Golden Vireo","Viréo doré","Vireo Amarillo",2021.01,18431
"bkcvir1",NA,"2","Vireo atricapilla","Black-capped Vireo","Viréo à tête noire","Vireo Gorra Negra",2021.01,18437
"whevir",NA,"264","Vireo griseus","White-eyed Vireo","Viréo aux yeux blancs","Vireo Ojos Blancos",2021.01,18439
"belvir",NA,"47","Vireo bellii","Bell's Vireo","Viréo de Bell","Vireo de Bell",2021.01,18466
"belvir1","belvir","1","Vireo bellii bellii/medius","Bell's Vireo (Eastern)","Viréo de Bell (bellii/medius)","Vireo de Bell (bellii/medius)",2021.01,18467
"belvir2","belvir","1","Vireo bellii arizonae","Bell's Vireo (Arizona)","Viréo de Bell (arizonae)","Vireo de Bell (arizonae)",2021.01,18470
"gryvir",NA,"29","Vireo vicinior","Gray Vireo","Viréo gris","Vireo Gris",2021.01,18472
"hutvir",NA,"292","Vireo huttoni","Hutton's Vireo","Viréo de Hutton","Vireo Reyezuelo",2021.01,18473
"hutvir1","hutvir","9","Vireo huttoni [huttoni Group]","Hutton's Vireo (Pacific)","Viréo de Hutton (groupe huttoni)","Vireo Reyezuelo (grupo huttoni)",2021.01,18474
"yetvir",NA,"99","Vireo flavifrons","Yellow-throated Vireo","Viréo à gorge jaune","Vireo Garganta Amarilla",2021.01,18489
"casvir",NA,"34","Vireo cassinii","Cassin's Vireo","Viréo de Cassin","Vireo de Cassin",2021.01,18492
"buhvir",NA,"299","Vireo solitarius","Blue-headed Vireo","Viréo à tête bleue","Vireo Anteojillo",2021.01,18495
"plsvir",NA,"12","Vireo plumbeus","Plumbeous Vireo","Viréo plombé","Vireo Plomizo",2021.01,18500
"y00484",NA,"1","Vireo cassinii/plumbeus","Cassin's/Plumbeous Vireo","Viréo de Cassin ou V. plombé","Vireo Plomizo/de Cassin",2021.01,18509
"solvir1",NA,"27","Vireo cassinii/solitarius/plumbeus","solitary vireo sp.","Viréo à tête bleue, V. de Cassin ou V. plombé","Vireo Plomizo/de Cassin/Anteojillo",2021.01,18510
"phivir",NA,"10","Vireo philadelphicus","Philadelphia Vireo","Viréo de Philadelphie","Vireo de Filadelfia",2021.01,18512
"warvir",NA,"43","Vireo gilvus","Warbling Vireo","Viréo mélodieux","Vireo Gorjeador",2021.01,18513
"eawvir1","warvir","1","Vireo gilvus gilvus","Warbling Vireo (Eastern)","Viréo mélodieux (gilvus)","Vireo Gorjeador (gilvus)",2021.01,18514
"reevir1",NA,"59","Vireo olivaceus","Red-eyed Vireo","Viréo aux yeux rouges","Vireo Ojos Rojos",2021.01,18533
"reevir",NA,"1","Vireo olivaceus/chivi","Red-eyed/Chivi Vireo","Viréo aux yeux rouges ou V. chivi","Vireo Ojos Rojos/Vireo Chiví",2021.01,18549
"yegvir",NA,"3","Vireo flavoviridis","Yellow-green Vireo","Viréo jaune-verdâtre","Vireo Verdeamarillo",2021.01,18551
"bkwvir",NA,"1","Vireo altiloquus","Black-whiskered Vireo","Viréo à moustaches","Vireo Bigotudo",2021.01,18556
"vireo1",NA,"7","Vireo sp.","vireo sp.","Vireo sp.","Vireo sp.",2021.01,18568
"brnshr",NA,"1","Lanius cristatus","Brown Shrike","Pie-grièche brune","Alcaudón Pardo",2021.01,20246
"logshr",NA,"620","Lanius ludovicianus","Loggerhead Shrike","Pie-grièche migratrice","Verdugo Americano",2021.01,20282
"norshr4",NA,"2579","Lanius borealis","Northern Shrike","Pie-grièche boréale","Alcaudón Norteño Americano",2021.01,20294
"norshr3","norshr4","1","Lanius borealis borealis","Northern Shrike (American)","Pie-grièche boréale (borealis)","Alcaudón Norteño Americano (borealis)",2021.01,20300
"y00620",NA,"57","Lanius ludovicianus/borealis","Loggerhead/Northern Shrike","Pie-grièche migratrice ou P.-g. boréale","Verdugo Americano/Norteño Americano",2021.01,20301
"norshr",NA,"85","Lanius borealis/excubitor","Northern/Great Gray Shrike","Pie-grièche boréale ou P.-g. grise d'Eurasie","Alcaudón Norteño Americano/Norteño Euroasiático",2021.01,20319
"shrike",NA,"29","Lanius sp.","shrike sp.","Lanius sp.","Alcaudón sp.",2021.01,20365
"gryjay",NA,"3087","Perisoreus canadensis","Canada Jay","Mésangeai du Canada","Arrendajo Canadiense",2021.01,20384
"gryjay1","gryjay","1","Perisoreus canadensis [canadensis Group]","Canada Jay (Boreal)","Mésangeai du Canada (groupe canadensis)","Arrendajo Canadiense (grupo canadensis)",2021.01,20385
"gryjay3","gryjay","2","Perisoreus canadensis obscurus/griseus","Canada Jay (Pacific)","Mésangeai du Canada (obscurus/griseus)","Arrendajo Canadiense (obscurus/griseus)",2021.01,20393
"btmjay",NA,"7","Calocitta colliei","Black-throated Magpie-Jay","Geai à face noire","Urraca Cara Negra",2021.01,20418
"wtmjay1",NA,"1","Calocitta formosa","White-throated Magpie-Jay","Geai à face blanche","Urraca Cara Blanca",2021.01,20419
"brnjay",NA,"3","Psilorhinus morio","Brown Jay","Geai enfumé","Chara Pea",2021.01,20425
