"species_code","alt_full_spp_code","n_locations","scientific_name","american_english_name","nom_francais_canadien","nombre_espanol_mexicano","taxonomy_version","taxonomic_sort_order"
"y00333",NA,"4","Junco hyemalis/phaeonotus","Dark-eyed/Yellow-eyed Junco","Junco ardoisé ou J. aux yeux jaunes","Junco Ojos Negros/Ojos de Lumbre",2021.01,32067
"whcspa",NA,"19670","Zonotrichia leucophrys","White-crowned Sparrow","Bruant à couronne blanche","Gorrión Corona Blanca",2021.01,32099
"ewcspa1","whcspa","1","Zonotrichia leucophrys leucophrys","White-crowned Sparrow (leucophrys)","Bruant à couronne blanche (leucophrys)","Gorrión Corona Blanca (leucophrys)",2021.01,32101
"gwcspa","whcspa","8","Zonotrichia leucophrys gambelii","White-crowned Sparrow (Gambel's)","Bruant à couronne blanche (gambelii)","Gorrión Corona Blanca (gambelii)",2021.01,32103
"whcspa3","whcspa","1","Zonotrichia leucophrys nuttalli/pugetensis","White-crowned Sparrow (Yellow-billed)","Bruant à couronne blanche (nuttalli/pugetensis)","Gorrión Corona Blanca (nuttalli/pugetensis)",2021.01,32104
"nwcspa","whcspa","1","Zonotrichia leucophrys nuttalli","White-crowned Sparrow (nuttalli)","Bruant à couronne blanche (nuttalli)","Gorrión Corona Blanca (nuttalli)",2021.01,32105
"pswspa1","whcspa","1","Zonotrichia leucophrys pugetensis","White-crowned Sparrow (pugetensis)","Bruant à couronne blanche (pugetensis)","Gorrión Corona Blanca (pugetensis)",2021.01,32106
"gocspa",NA,"4549","Zonotrichia atricapilla","Golden-crowned Sparrow","Bruant à couronne dorée","Gorrión Corona Amarilla",2021.01,32107
"x00053",NA,"1","Zonotrichia leucophrys x atricapilla","White-crowned x Golden-crowned Sparrow (hybrid)","Hybride Bruant à couronne blanche x B. à couronne dorée","Gorrión Corona Blanca x Corona Amarilla (híbrido)",2021.01,32108
"harspa",NA,"2142","Zonotrichia querula","Harris's Sparrow","Bruant à face noire","Gorrión de Harris",2021.01,32109
"whtspa",NA,"33865","Zonotrichia albicollis","White-throated Sparrow","Bruant à gorge blanche","Gorrión Garganta Blanca",2021.01,32112
"y00332",NA,"4","Zonotrichia leucophrys/albicollis","White-crowned/White-throated Sparrow","Bruant à couronne blanche ou B. à gorge blanche","Gorrión Corona Blanca/Garganta Blanca",2021.01,32114
"x00720",NA,"2","Zonotrichia atricapilla x albicollis","Golden-crowned x White-throated Sparrow (hybrid)","Hybride Bruant à couronne dorée x B. à gorge blanche","Gorrión Corona Amarilla x Garganta Blanca (híbrido)",2021.01,32115
"x00039",NA,"14","Junco hyemalis x Zonotrichia albicollis","Dark-eyed Junco x White-throated Sparrow (hybrid)","Hybride Junco ardoisé x Bruant à gorge blanche","Junco Ojos Negros x Gorrión Garganta Blanca (híbrido)",2021.01,32117
"sagspa1",NA,"16","Artemisiospiza nevadensis","Sagebrush Sparrow","Bruant des armoises","Zacatonero de Artemisas",2021.01,32118
"belspa2",NA,"1","Artemisiospiza belli","Bell's Sparrow","Bruant de Bell","Zacatonero Californiano",2021.01,32119
"sagspa",NA,"19","Artemisiospiza nevadensis/belli","Sagebrush/Bell's Sparrow (Sage Sparrow)","Bruant des armoises ou B. de Bell","Zacatonero de Artemisas/Californiano",2021.01,32124
"vesspa",NA,"202","Pooecetes gramineus","Vesper Sparrow","Bruant vespéral","Gorrión Cola Blanca",2021.01,32128
"lecspa",NA,"9","Ammospiza leconteii","LeConte's Sparrow","Bruant de LeConte","Gorrión de LeConte",2021.01,32132
"seaspa",NA,"12","Ammospiza maritima","Seaside Sparrow","Bruant maritime","Gorrión Costero",2021.01,32133
"nstspa",NA,"2","Ammospiza nelsoni","Nelson's Sparrow","Bruant de Nelson","Gorrión de Nelson",2021.01,32143
"nstspa2","nstspa","1","Ammospiza nelsoni subvirgata","Nelson's Sparrow (Atlantic Coast)","Bruant de Nelson (subvirgata)","Gorrión de Nelson (subvirgata)",2021.01,32147
"shtspa",NA,"3","Ammospiza nelsoni/caudacuta","Nelson's/Saltmarsh Sparrow (Sharp-tailed Sparrow)","Bruant de Nelson ou B. à queue aiguë","Gorrión de Nelson/Cola Aguda",2021.01,32153
"savspa",NA,"991","Passerculus sandwichensis","Savannah Sparrow","Bruant des prés","Gorrión Sabanero",2021.01,32155
"savspa4","savspa","21","Passerculus sandwichensis [sandwichensis Group]","Savannah Sparrow (Savannah)","Bruant des prés (groupe sandwichensis)","Gorrión Sabanero (grupo sandwichensis)",2021.01,32156
"ipsspa","savspa","14","Passerculus sandwichensis princeps","Savannah Sparrow (Ipswich)","Bruant des prés (princeps)","Gorrión Sabanero (princeps)",2021.01,32170
"bldspa","savspa","13","Passerculus sandwichensis [guttatus Group]","Savannah Sparrow (Belding's)","Bruant des prés (groupe guttatus)","Gorrión Sabanero (grupo guttatus)",2021.01,32171
"savspa3","savspa","1","Passerculus sandwichensis sanctorum","Savannah Sparrow (San Benito)","Bruant des prés (sanctorum)","Gorrión Sabanero (sanctorum)",2021.01,32176
"labspa","savspa","3","Passerculus sandwichensis rostratus/atratus","Savannah Sparrow (Large-billed)","Bruant des prés (rostratus/atratus)","Gorrión Sabanero (rostratus/atratus)",2021.01,32177
"baispa",NA,"2","Centronyx bairdii","Baird's Sparrow","Bruant de Baird","Gorrión de Baird",2021.01,32180
"henspa",NA,"5","Centronyx henslowii","Henslow's Sparrow","Bruant de Henslow","Chingolo de Henslow",2021.01,32181
"sonspa",NA,"39449","Melospiza melodia","Song Sparrow","Bruant chanteur","Gorrión Cantor",2021.01,32187
"linspa",NA,"1196","Melospiza lincolnii","Lincoln's Sparrow","Bruant de Lincoln","Gorrión de Lincoln",2021.01,32220
"swaspa",NA,"595","Melospiza georgiana","Swamp Sparrow","Bruant des marais","Gorrión Pantanero",2021.01,32225
"rcgspa1",NA,"1","Melozone kieneri","Rusty-crowned Ground-Sparrow","Tohi de Kiener","Rascador Nuca Canela",2021.01,32236
"cantow",NA,"790","Melozone fusca","Canyon Towhee","Tohi des canyons","Rascador Viejita",2021.01,32240
"whttow1",NA,"1","Melozone albicollis","White-throated Towhee","Tohi à gorge blanche","Rascador Oaxaqueño",2021.01,32251
"abetow",NA,"380","Melozone aberti","Abert's Towhee","Tohi d'Abert","Rascador Enmascarado",2021.01,32254
"y00331",NA,"92","Melozone fusca/aberti","Canyon/Abert's Towhee","Tohi des canyons ou T. d'Abert","Rascador Viejita/Enmascarado",2021.01,32259
"caltow",NA,"3034","Melozone crissalis","California Towhee","Tohi de Californie","Rascador Californiano",2021.01,32260
"rucspa",NA,"237","Aimophila ruficeps","Rufous-crowned Sparrow","Tohi à calotte fauve","Zacatonero Corona Canela",2021.01,32284
"gnttow",NA,"144","Pipilo chlorurus","Green-tailed Towhee","Tohi à queue verte","Rascador Cola Verde",2021.01,32298
"spotow",NA,"8301","Pipilo maculatus","Spotted Towhee","Tohi tacheté","Rascador Moteado",2021.01,32299
"spotow1","spotow","6","Pipilo maculatus [oregonus Group]","Spotted Towhee (oregonus Group)","Tohi tacheté (groupe oregonus)","Rascador Moteado (grupo oregonus)",2021.01,32300
"spotow2","spotow","3","Pipilo maculatus [maculatus Group]","Spotted Towhee (maculatus Group)","Tohi tacheté (groupe maculatus)","Rascador Moteado (grupo maculatus)",2021.01,32309
"eastow",NA,"11459","Pipilo erythrophthalmus","Eastern Towhee","Tohi à flancs roux","Rascador Espalda Negra",2021.01,32327
"eastow1","eastow","50","Pipilo erythrophthalmus erythrophthalmus/canaster","Eastern Towhee (Red-eyed)","Tohi à flancs roux (erythrophthalmus/canaster)","Rascador Espalda Negra (erythrophthalmus/canaster)",2021.01,32328
"y00226",NA,"253","Pipilo maculatus/erythrophthalmus","Spotted/Eastern Towhee (Rufous-sided Towhee)","Tohi tacheté ou T. à flancs roux","Rascador Moteado/Espalda Negra",2021.01,32335
"towhee1",NA,"7","Melozone/Pipilo sp.","towhee sp.","Pipilo sp.","Melozone/Pipilo sp.",2021.01,32344
"yegfin1",NA,"1","Atlapetes luteoviridis","Yellow-green Brushfinch","Tohi jaune-vert","Cerquero Verdiamarillo",2021.01,32359
"sparro1",NA,"111","Passerellidae sp. (sparrow sp.)","sparrow sp.","Bruant sp.","Gorrión/Rascador sp. (Passerellidae sp.)",2021.01,32433
"yebcha",NA,"57","Icteria virens","Yellow-breasted Chat","Ictérie polyglotte","Chipe Grande",2021.01,32466
"yebcha1","yebcha","3","Icteria virens virens","Yellow-breasted Chat (virens)","Ictérie polyglotte (virens)","Chipe Grande (virens)",2021.01,32467
"yehbla",NA,"210","Xanthocephalus xanthocephalus","Yellow-headed Blackbird","Carouge à tête jaune","Tordo Cabeza Amarilla",2021.01,32469
"boboli",NA,"7","Dolichonyx oryzivorus","Bobolink","Goglu des prés","Tordo Arrocero",2021.01,32470
"wesmea",NA,"506","Sturnella neglecta","Western Meadowlark","Sturnelle de l'Ouest","Pradero del Oeste",2021.01,32471
"easmea",NA,"959","Sturnella magna","Eastern Meadowlark","Sturnelle des prés","Pradero Tortillaconchile",2021.01,32474
"easmea2","easmea","8","Sturnella magna [magna Group]","Eastern Meadowlark (Eastern)","Sturnelle des prés (groupe magna)","Pradero Tortillaconchile (grupo magna)",2021.01,32476
"meadow",NA,"39","Sturnella neglecta/magna","Western/Eastern Meadowlark","Sturnelle de l'Ouest ou S. des prés","Pradero Tortillaconchile/del Oeste",2021.01,32495
"yewcac1",NA,"2","Cassiculus melanicterus","Yellow-winged Cacique","Cassique à ailes jaunes","Cacique Mexicano",2021.01,32511
"bkvori",NA,"1","Icterus wagleri","Black-vented Oriole","Oriole cul-noir","Calandria de Wagler",2021.01,32571
"orcori",NA,"117","Icterus spurius","Orchard Oriole","Oriole des vergers","Calandria Castaña",2021.01,32578
"orcori2","orcori","1","Icterus spurius spurius","Orchard Oriole (Orchard)","Oriole des vergers (spurius)","Calandria Castaña (spurius)",2021.01,32579
"hooori",NA,"552","Icterus cucullatus","Hooded Oriole","Oriole masqué","Calandria Dorso Negro Menor",2021.01,32581
"hooori1","hooori","1","Icterus cucullatus [nelsoni Group]","Hooded Oriole (nelsoni Group)","Oriole masqué (groupe nelsoni)","Calandria Dorso Negro Menor (grupo nelsoni)",2021.01,32585
"y00488",NA,"2","Icterus spurius/cucullatus","Orchard/Hooded Oriole","Oriole des vergers ou O. masqué","Calandria Castaña/Dorso Negro Menor",2021.01,32590
"stbori",NA,"5","Icterus pustulatus","Streak-backed Oriole","Oriole à dos rayé","Calandria Dorso Rayado",2021.01,32623
"bulori",NA,"276","Icterus bullockii","Bullock's Oriole","Oriole de Bullock","Calandria Cejas Naranjas",2021.01,32635
"spbori",NA,"40","Icterus pectoralis","Spot-breasted Oriole","Oriole maculé","Calandria Pecho Moteado",2021.01,32648
"altori",NA,"13","Icterus gularis","Altamira Oriole","Oriole à gros bec","Calandria Dorso Negro Mayor",2021.01,32651
"audori",NA,"14","Icterus graduacauda","Audubon's Oriole","Oriole d'Audubon","Calandria Capucha Negra",2021.01,32658
"audori1","audori","1","Icterus graduacauda graduacauda/audubonii","Audubon's Oriole (Audubon's)","Oriole d'Audubon (graduacauda/audubonii)","Calandria Capucha Negra (graduacauda/audubonii)",2021.01,32659
"balori",NA,"1105","Icterus galbula","Baltimore Oriole","Oriole de Baltimore","Calandria de Baltimore",2021.01,32666
"x00013",NA,"3","Icterus bullockii x galbula","Bullock's x Baltimore Oriole (hybrid)","Hybride Oriole de Bullock x O. de Baltimore","Calandria Cejas Naranjas x de Baltimore (híbrido)",2021.01,32667
"y00022",NA,"167","Icterus bullockii/galbula","Bullock's/Baltimore Oriole","Oriole de Bullock ou O. de Baltimore","Calandria Cejas Naranjas/de Baltimore",2021.01,32668
"scoori",NA,"91","Icterus parisorum","Scott's Oriole","Oriole jaune-verdâtre","Calandria Tunera",2021.01,32672
"oriole",NA,"9","Icterus sp.","new world oriole sp.","Icterus sp.","Calandria sp.",2021.01,32674
"rewbla",NA,"36613","Agelaius phoeniceus","Red-winged Blackbird","Carouge à épaulettes","Tordo Sargento",2021.01,32676
"rewbla1","rewbla","36","Agelaius phoeniceus [phoeniceus Group]","Red-winged Blackbird (Red-winged)","Carouge à épaulettes (groupe phoeniceus)","Tordo Sargento (grupo phoeniceus)",2021.01,32677
"rewbla2","rewbla","1","Agelaius phoeniceus californicus/mailliardorum","Red-winged Blackbird (California Bicolored)","Carouge à épaulettes (californicus/mailliardorum)","Tordo Sargento (californicus/mailliardorum)",2021.01,32699
"tribla",NA,"101","Agelaius tricolor","Tricolored Blackbird","Carouge de Californie","Tordo Tricolor",2021.01,32706
"tasbla",NA,"1","Agelaius humeralis","Tawny-shouldered Blackbird","Petit Carouge","Sargento Humeral",2021.01,32708
"shicow",NA,"16","Molothrus bonariensis","Shiny Cowbird","Vacher luisant","Tordo Sudamericano",2021.01,32716
"brocow",NA,"131","Molothrus aeneus","Bronzed Cowbird","Vacher bronzé","Tordo Ojos Rojos",2021.01,32725
"bnhcow",NA,"29185","Molothrus ater","Brown-headed Cowbird","Vacher à tête brune","Tordo Cabeza Café",2021.01,32732
"y00336",NA,"12","Molothrus bonariensis/ater","Shiny/Brown-headed Cowbird","Vacher luisant ou V. à tête brune","Tordo Sudamericano/Cabeza Café",2021.01,32737
"y00337",NA,"28","Molothrus aeneus/ater","Bronzed/Brown-headed Cowbird","Vacher bronzé ou V. à tête brune","Tordo Ojos Rojos/Cabeza Café",2021.01,32738
"rusbla",NA,"1754","Euphagus carolinus","Rusty Blackbird","Quiscale rouilleux","Tordo Canadiense",2021.01,32747
"brebla",NA,"3588","Euphagus cyanocephalus","Brewer's Blackbird","Quiscale de Brewer","Tordo Ojos Amarillos",2021.01,32750
"y00227",NA,"37","Euphagus carolinus/cyanocephalus","Rusty/Brewer's Blackbird","Quiscale rouilleux ou Q. de Brewer","Tordo Canadiense/Ojos Amarillos",2021.01,32751
"comgra",NA,"37156","Quiscalus quiscula","Common Grackle","Quiscale bronzé","Zanate Norteño",2021.01,32752
"comgra1","comgra","5","Quiscalus quiscula quiscula/stonei","Common Grackle (Purple)","Quiscale bronzé (quiscula/stonei)","Zanate Norteño (quiscula/stonei)",2021.01,32753
"comgra2","comgra","1","Quiscalus quiscula versicolor","Common Grackle (Bronzed)","Quiscale bronzé (versicolor)","Zanate Norteño (versicolor)",2021.01,32756
"botgra",NA,"1879","Quiscalus major","Boat-tailed Grackle","Quiscale des marais","Zanate Marismeño",2021.01,32757
"botgra1","botgra","1","Quiscalus major major","Boat-tailed Grackle (major)","Quiscale des marais (major)","Zanate Marismeño (major)",2021.01,32758
"botgra2","botgra","3","Quiscalus major torreyi/alabamensis","Boat-tailed Grackle (torreyi/alabamensis)","Quiscale des marais (torreyi/alabamensis)","Zanate Marismeño (torreyi/alabamensis)",2021.01,32759
"grtgra",NA,"1492","Quiscalus mexicanus","Great-tailed Grackle","Quiscale à longue queue","Zanate Mayor",2021.01,32763
"grackl",NA,"14","Quiscalus sp.","grackle sp.","Quiscalus sp.","Zanate sp.",2021.01,32797
"oribla1",NA,"1","Gymnomystax mexicanus","Oriole Blackbird","Carouge loriot","Chango Oriolino",2021.01,32805
"yewbla2",NA,"1","Agelasticus thilius","Yellow-winged Blackbird","Carouge galonné","Varillero Aliamarillo",2021.01,32829
"blackb",NA,"98","Icteridae sp.","blackbird sp.","Ictéridé sp.","Icteridae sp.",2021.01,32842
"ovenbi1",NA,"176","Seiurus aurocapilla","Ovenbird","Paruline couronnée","Chipe Suelero",2021.01,32843
"woewar1",NA,"23","Helmitheros vermivorum","Worm-eating Warbler","Paruline vermivore","Chipe Gusanero",2021.01,32847
"louwat",NA,"29","Parkesia motacilla","Louisiana Waterthrush","Paruline hochequeue","Chipe Arroyero",2021.01,32849
"norwat",NA,"14","Parkesia noveboracensis","Northern Waterthrush","Paruline des ruisseaux","Chipe Charquero",2021.01,32850
"y00598",NA,"12","Parkesia motacilla/noveboracensis","Louisiana/Northern Waterthrush","Paruline hochequeue ou P. des ruisseaux","Chipe Arroyero/Charquero",2021.01,32851
"gowwar",NA,"4","Vermivora chrysoptera","Golden-winged Warbler","Paruline à ailes dorées","Chipe Alas Amarillas",2021.01,32853
"buwwar",NA,"23","Vermivora cyanoptera","Blue-winged Warbler","Paruline à ailes bleues","Chipe Alas Azules",2021.01,32854
"brewar",NA,"1","Vermivora chrysoptera x cyanoptera (F1 hybrid)","Brewster's Warbler (hybrid)","Paruline de Brewster (hybride F1)","Chipe de Brewster (híbrido)",2021.01,32856
"bawwar",NA,"656","Mniotilta varia","Black-and-white Warbler","Paruline noir et blanc","Chipe Trepador",2021.01,32859
"prowar",NA,"73","Protonotaria citrea","Prothonotary Warbler","Paruline orangée","Chipe Dorado",2021.01,32860
"swawar",NA,"7","Limnothlypis swainsonii","Swainson's Warbler","Paruline de Swainson","Chipe Corona Café",2021.01,32861
"tenwar",NA,"49","Leiothlypis peregrina","Tennessee Warbler","Paruline obscure","Chipe Peregrino",2021.01,32869
"orcwar",NA,"2166","Leiothlypis celata","Orange-crowned Warbler","Paruline verdâtre","Chipe Oliváceo",2021.01,32870
"orcwar1","orcwar","15","Leiothlypis celata celata","Orange-crowned Warbler (celata)","Paruline verdâtre (celata)","Chipe Oliváceo (celata)",2021.01,32872
"orcwar3","orcwar","1","Leiothlypis celata lutescens","Orange-crowned Warbler (lutescens)","Paruline verdâtre (lutescens)","Chipe Oliváceo (lutescens)",2021.01,32874
"lucwar",NA,"46","Leiothlypis luciae","Lucy's Warbler","Paruline de Lucy","Chipe Rabadilla Castaña",2021.01,32877
"naswar",NA,"152","Leiothlypis ruficapilla","Nashville Warbler","Paruline à joues grises","Chipe Cabeza Gris",2021.01,32878
"naswar1","naswar","2","Leiothlypis ruficapilla ruficapilla","Nashville Warbler (ruficapilla)","Paruline à joues grises (ruficapilla)","Chipe Cabeza Gris (ruficapilla)",2021.01,32879
"naswar2","naswar","1","Leiothlypis ruficapilla ridgwayi","Nashville Warbler (ridgwayi)","Paruline à joues grises (ridgwayi)","Chipe Cabeza Gris (ridgwayi)",2021.01,32880
"virwar",NA,"7","Leiothlypis virginiae","Virginia's Warbler","Paruline de Virginia","Chipe de Virginia",2021.01,32882
"conwar",NA,"4","Oporornis agilis","Connecticut Warbler","Paruline à gorge grise","Chipe de Connecticut",2021.01,32886
"gycyel",NA,"1","Geothlypis poliocephala","Gray-crowned Yellowthroat","Paruline à calotte grise","Mascarita Pico Grueso",2021.01,32887
"macwar",NA,"7","Geothlypis tolmiei","MacGillivray's Warbler","Paruline des buissons","Chipe Lores Negros",2021.01,32900
"mouwar",NA,"1","Geothlypis philadelphia","Mourning Warbler","Paruline triste","Chipe de Pechera",2021.01,32901
"kenwar",NA,"5","Geothlypis formosa","Kentucky Warbler","Paruline du Kentucky","Chipe Patilludo",2021.01,32906
"comyel",NA,"377","Geothlypis trichas","Common Yellowthroat","Paruline masquée","Mascarita Común",2021.01,32921
"hoowar",NA,"57","Setophaga citrina","Hooded Warbler","Paruline à capuchon","Chipe Encapuchado",2021.01,32949
"amered",NA,"81","Setophaga ruticilla","American Redstart","Paruline flamboyante","Pavito Migratorio",2021.01,32950
"kirwar",NA,"1","Setophaga kirtlandii","Kirtland's Warbler","Paruline de Kirtland","Reinita de Kirtland",2021.01,32951
"camwar",NA,"38","Setophaga tigrina","Cape May Warbler","Paruline tigrée","Chipe Atigrado",2021.01,32952
"cerwar",NA,"16","Setophaga cerulea","Cerulean Warbler","Paruline azurée","Chipe Celeste",2021.01,32953
"norpar",NA,"300","Setophaga americana","Northern Parula","Paruline à collier","Chipe Pecho Manchado",2021.01,32955
"magwar",NA,"21","Setophaga magnolia","Magnolia Warbler","Paruline à tête cendrée","Chipe de Magnolias",2021.01,32971
"babwar",NA,"15","Setophaga castanea","Bay-breasted Warbler","Paruline à poitrine baie","Chipe Castaño",2021.01,32973
"bkbwar",NA,"18","Setophaga fusca","Blackburnian Warbler","Paruline à gorge orangée","Chipe Garganta Naranja",2021.01,32974
"yelwar",NA,"425","Setophaga petechia","Yellow Warbler","Paruline jaune","Chipe Amarillo",2021.01,32976
"yelwar1","yelwar","3","Setophaga petechia [aestiva Group]","Yellow Warbler (Northern)","Paruline jaune (groupe aestiva)","Chipe Amarillo (grupo aestiva)",2021.01,32977
"yelwar2","yelwar","2","Setophaga petechia [petechia Group]","Yellow Warbler (Golden)","Paruline jaune (groupe petechia)","Chipe Amarillo (Dorado)",2021.01,32997
"chswar",NA,"9","Setophaga pensylvanica","Chestnut-sided Warbler","Paruline à flancs marron","Chipe Flancos Castaños",2021.01,33018
"bkpwar",NA,"33","Setophaga striata","Blackpoll Warbler","Paruline rayée","Chipe Cabeza Negra",2021.01,33020
"btbwar",NA,"71","Setophaga caerulescens","Black-throated Blue Warbler","Paruline bleue","Chipe Azulnegro",2021.01,33023
"palwar",NA,"657","Setophaga palmarum","Palm Warbler","Paruline à couronne rousse","Chipe Playero",2021.01,33029
"palwar3","palwar","11","Setophaga palmarum palmarum","Palm Warbler (Western)","Paruline à couronne rousse (palmarum)","Chipe Playero (palmarum)",2021.01,33030
"palwar4","palwar","18","Setophaga palmarum hypochrysea","Palm Warbler (Yellow)","Paruline à couronne rousse (hypochrysea)","Chipe Playero (hypochrysea)",2021.01,33031
"pinwar",NA,"6008","Setophaga pinus","Pine Warbler","Paruline des pins","Chipe Pinero",2021.01,33034
"yerwar",NA,"11272","Setophaga coronata","Yellow-rumped Warbler","Paruline à croupion jaune","Chipe Rabadilla Amarilla",2021.01,33040
"myrwar","yerwar","307","Setophaga coronata coronata","Yellow-rumped Warbler (Myrtle)","Paruline à croupion jaune (coronata)","Chipe Rabadilla Amarilla (coronata)",2021.01,33041
"audwar","yerwar","129","Setophaga coronata auduboni","Yellow-rumped Warbler (Audubon's)","Paruline à croupion jaune (auduboni)","Chipe Rabadilla Amarilla (auduboni)",2021.01,33042
"yerwar3","yerwar","19","Setophaga coronata coronata x auduboni","Yellow-rumped Warbler (Myrtle x Audubon's)","Paruline à croupion jaune (coronata x auduboni)","Chipe Rabadilla Amarilla (coronata x auduboni)",2021.01,33043
"x00461",NA,"2","Setophaga palmarum x coronata","Palm x Yellow-rumped Warbler (hybrid)","Hybride Paruline à couronne rousse x P. à croupion jaune","Chipe Playero x Rabadilla Amarilla (híbrido)",2021.01,33048
"yetwar",NA,"652","Setophaga dominica","Yellow-throated Warbler","Paruline à gorge jaune","Chipe Garganta Amarilla",2021.01,33049
"yetwar1","yetwar","1","Setophaga dominica albilora","Yellow-throated Warbler (albilora)","Paruline à gorge jaune (albilora)","Chipe Garganta Amarilla (albilora)",2021.01,33050
"yetwar2","yetwar","1","Setophaga dominica dominica/stoddardi","Yellow-throated Warbler (dominica/stoddardi)","Paruline à gorge jaune (dominica/stoddardi)","Chipe Garganta Amarilla (dominica/stoddardi)",2021.01,33051
"prawar",NA,"141","Setophaga discolor","Prairie Warbler","Paruline des prés","Chipe de Pradera",2021.01,33061
"barwar",NA,"1","Setophaga subita","Barbuda Warbler","Paruline de Barbuda","Reinita de Barbuda",2021.01,33067
"grawar",NA,"3","Setophaga graciae","Grace's Warbler","Paruline de Grace","Chipe Cejas Amarillas",2021.01,33069
"btywar",NA,"75","Setophaga nigrescens","Black-throated Gray Warbler","Paruline grise","Chipe Negrogris",2021.01,33075
"towwar",NA,"1610","Setophaga townsendi","Townsend's Warbler","Paruline de Townsend","Chipe de Townsend",2021.01,33080
"x00624",NA,"1","Setophaga coronata x townsendi","Yellow-rumped x Townsend's Warbler (hybrid)","Hybride Paruline à croupion jaune x P. de Townsend","Chipe Rabadilla Amarilla x de Townsend (híbrido)",2021.01,33081
"herwar",NA,"16","Setophaga occidentalis","Hermit Warbler","Paruline à tête jaune","Chipe Cabeza Amarilla",2021.01,33084
"x00059",NA,"5","Setophaga townsendi x occidentalis","Townsend's x Hermit Warbler (hybrid)","Hybride Paruline de Townsend x P. à tête jaune","Chipe de Townsend x Cabeza Amarilla (híbrido)",2021.01,33085
"gchwar",NA,"14","Setophaga chrysoparia","Golden-cheeked Warbler","Paruline à dos noir","Chipe Cachetes Amarillos",2021.01,33089
"btnwar",NA,"38","Setophaga virens","Black-throated Green Warbler","Paruline à gorge noire","Chipe Dorso Verde",2021.01,33090
"rucwar",NA,"1","Basileuterus rufifrons","Rufous-capped Warbler","Paruline à calotte rousse","Chipe Gorra Canela Común",2021.01,33095
"gcrwar",NA,"1","Basileuterus culicivorus","Golden-crowned Warbler","Paruline à couronne dorée","Chipe Cejas Negras",2021.01,33119
"canwar",NA,"1","Cardellina canadensis","Canada Warbler","Paruline du Canada","Chipe de Collar",2021.01,33215
"wlswar",NA,"214","Cardellina pusilla","Wilson's Warbler","Paruline à calotte noire","Chipe Corona Negra",2021.01,33216
"wilwar1","wlswar","1","Cardellina pusilla pileolata","Wilson's Warbler (pileolata)","Paruline à calotte noire (pileolata)","Chipe Corona Negra (pileolata)",2021.01,33217
"wilwar2","wlswar","2","Cardellina pusilla pusilla","Wilson's Warbler (pusilla)","Paruline à calotte noire (pusilla)","Chipe Corona Negra (pusilla)",2021.01,33218
"wilwar3","wlswar","6","Cardellina pusilla chryseola","Wilson's Warbler (chryseola)","Paruline à calotte noire (chryseola)","Chipe Corona Negra (chryseola)",2021.01,33219
"refwar",NA,"1","Cardellina rubrifrons","Red-faced Warbler","Paruline à face rouge","Chipe Cara Roja",2021.01,33220
"paired",NA,"12","Myioborus pictus","Painted Redstart","Paruline à ailes blanches","Pavito Alas Blancas",2021.01,33227
"warble",NA,"23","Parulidae sp.","warbler sp. (Parulidae sp.)","Paruline sp.","Chipe sp. (Parulidae sp.)",2021.01,33267
"heptan",NA,"7","Piranga flava","Hepatic Tanager","Piranga orangé","Piranga Encinera",2021.01,33281
"sumtan",NA,"206","Piranga rubra","Summer Tanager","Piranga vermillon","Piranga Roja",2021.01,33300
"scatan",NA,"73","Piranga olivacea","Scarlet Tanager","Piranga écarlate","Piranga Escarlata",2021.01,33304
"westan",NA,"118","Piranga ludoviciana","Western Tanager","Piranga à tête rouge","Piranga Capucha Roja",2021.01,33306
"flctan",NA,"1","Piranga bidentata","Flame-colored Tanager","Piranga à dos rayé","Piranga Dorso Rayado",2021.01,33309
"rehtan2",NA,"1","Piranga rubriceps","Red-hooded Tanager","Piranga à capuchon","Piranga Capuchirroja",2021.01,33324
"norcar",NA,"59929","Cardinalis cardinalis","Northern Cardinal","Cardinal rouge","Cardenal Rojo",2021.01,33382
"norcar1","norcar","55","Cardinalis cardinalis [cardinalis Group]","Northern Cardinal (Common)","Cardinal rouge (groupe cardinalis)","Cardenal Rojo (grupo cardinalis)",2021.01,33383
"pyrrhu",NA,"884","Cardinalis sinuatus","Pyrrhuloxia","Cardinal pyrrhuloxia","Cardenal Desértico",2021.01,33402
"yelgro",NA,"3","Pheucticus chrysopeplus","Yellow Grosbeak","Cardinal jaune","Picogordo Amarillo",2021.01,33408
"robgro",NA,"835","Pheucticus ludovicianus","Rose-breasted Grosbeak","Cardinal à poitrine rose","Picogordo Degollado",2021.01,33424
"bkhgro",NA,"551","Pheucticus melanocephalus","Black-headed Grosbeak","Cardinal à tête noire","Picogordo Tigrillo",2021.01,33425
"y00334",NA,"39","Pheucticus ludovicianus/melanocephalus","Rose-breasted/Black-headed Grosbeak","Cardinal à poitrine rose ou C. à tête noire","Picogordo Degollado/Tigrillo",2021.01,33429
"blubun",NA,"5","Cyanocompsa parellina","Blue Bunting","Évêque paré","Colorín Azulnegro",2021.01,33460
"blugrb1",NA,"117","Passerina caerulea","Blue Grosbeak","Guiraca bleu","Picogordo Azul",2021.01,33465
"lazbun",NA,"61","Passerina amoena","Lazuli Bunting","Passerin azuré","Colorín Pecho Canela",2021.01,33473
"indbun",NA,"598","Passerina cyanea","Indigo Bunting","Passerin indigo","Colorín Azul",2021.01,33474
